dataset,project_broad_celltype,program,mean_score,detection_fraction
GSE149614,B,endothelial,0.14105527668683,0.204081632653061
GSE149614,plasma,endothelial,0.0808327186156092,0.214285714285714
GSE149614,T/NK,endothelial,0.398548897021369,0.428571428571429
GSE149614,endothelial,endothelial,2.74690744313676,1
GSE149614,other/uncertain,endothelial,0,0
GSE149614,monocyte/macrophage,fibroblast/mesenchymal,0.0249936416160429,0.0363636363636364
GSE149614,hepatocyte/tumor epithelial,fibroblast/mesenchymal,0.0266332465233376,0.055921052631579
GSE149614,B,fibroblast/mesenchymal,0,0
GSE149614,plasma,fibroblast/mesenchymal,0,0
GSE149614,T/NK,fibroblast/mesenchymal,0,0
GSE149614,endothelial,fibroblast/mesenchymal,0,0
GSE149614,other/uncertain,fibroblast/mesenchymal,0,0
GSE149614,hepatocyte/tumor epithelial,hepatocyte/tumor epithelial,5.75275453841424,1
GSE149614,monocyte/macrophage,hepatocyte/tumor epithelial,3.76584767471459,1
GSE149614,B,hepatocyte/tumor epithelial,3.71266706573632,1
GSE149614,plasma,hepatocyte/tumor epithelial,3.5412153504206,1
GSE149614,hepatocyte/tumor epithelial,T/NK,0.0823347045958349,0.278481012658228
GSE149614,monocyte/macrophage,T/NK,0.209458390366975,0.46969696969697
GSE149614,B,T/NK,0.371275373983975,0.529411764705882
GSE149614,plasma,T/NK,0.122188661189524,0.6
GSE149614,hepatocyte/tumor epithelial,B,0.968801128474407,0.977215189873418
GSE149614,monocyte/macrophage,B,3.96327034218309,1
GSE149614,B,B,4.37006852324906,1
GSE149614,plasma,B,1.63957604531403,1
GSE149614,hepatocyte/tumor epithelial,plasma,1.33131208487377,0.984810126582279
GSE149614,monocyte/macrophage,plasma,0.95685937056125,0.939393939393939
GSE149614,B,plasma,0.887675817813039,0.911764705882353
GSE149614,plasma,plasma,6.7577899143412,1
GSE149614,hepatocyte/tumor epithelial,monocyte/macrophage,3.53093646173457,1
GSE149614,monocyte/macrophage,monocyte/macrophage,4.38070364298887,1
GSE149614,B,monocyte/macrophage,4.00079838416751,1
GSE149614,plasma,monocyte/macrophage,2.11494861258759,1
GSE149614,hepatocyte/tumor epithelial,neutrophil,0.217807768636424,0.759493670886076
GSE149614,monocyte/macrophage,neutrophil,0.977148438797043,1
GSE149614,B,neutrophil,0.849597102208556,0.941176470588235
GSE149614,plasma,neutrophil,0.422605225326376,1
GSE149614,hepatocyte/tumor epithelial,dendritic,1.18391256201133,0.99746835443038
GSE149614,monocyte/macrophage,dendritic,1.88992315235614,1
GSE149614,B,dendritic,2.12735930479504,1
GSE149614,plasma,dendritic,0.426993900727613,0.8
