dataset,source_author_annotation,project_broad_celltype,n_cells,fraction_within_source_author_annotation
GSE242889,(missing),endothelial,568,0.116298116298116
GSE242889,(missing),monocyte/macrophage,522,0.106879606879607
GSE242889,(missing),dendritic,62,0.0126945126945127
GSE242889,(missing),neutrophil,148,0.0303030303030303
GSE242889,(missing),other/uncertain,39,0.00798525798525799
GSE242889,(missing),mast,5,0.00102375102375102
GSE242889,(missing),hepatocyte/tumor epithelial,4567,0.827654947444726
GSE242889,(missing),B,475,0.0860819137368612
GSE242889,(missing),monocyte/macrophage,212,0.0384197172888728
GSE242889,(missing),plasma,227,0.0411380935121421
GSE242889,(missing),T/NK,14,0.00253715114171801
GSE242889,(missing),endothelial,14,0.00253715114171801
GSE242889,(missing),dendritic,1,0.000181225081551287
GSE242889,(missing),fibroblast/mesenchymal,5,0.000906125407756434
GSE242889,(missing),mast,1,0.000181225081551287
GSE242889,(missing),neutrophil,2,0.000362450163102573
GSE242889,(missing),B,2019,0.444713656387665
GSE242889,(missing),hepatocyte/tumor epithelial,1832,0.40352422907489
GSE242889,(missing),mast,61,0.0134361233480176
GSE242889,(missing),endothelial,120,0.026431718061674
GSE242889,(missing),T/NK,128,0.0281938325991189
GSE242889,(missing),monocyte/macrophage,129,0.0284140969162996
GSE242889,(missing),neutrophil,49,0.0107929515418502
GSE242889,(missing),fibroblast/mesenchymal,67,0.0147577092511013
GSE242889,(missing),dendritic,49,0.0107929515418502
GSE242889,(missing),plasma,10,0.00220264317180617
GSE242889,(missing),other/uncertain,76,0.0167400881057269
GSE242889,(missing),hepatocyte/tumor epithelial,4361,0.723457199734572
GSE242889,(missing),plasma,41,0.00680159256801593
GSE242889,(missing),monocyte/macrophage,267,0.044293297942933
GSE242889,(missing),B,1118,0.185467816854678
GSE242889,(missing),mast,6,0.00099535500995355
GSE242889,(missing),dendritic,21,0.00348374253483743
GSE242889,(missing),endothelial,149,0.0247179827471798
GSE242889,(missing),T/NK,37,0.00613802256138023
GSE242889,(missing),fibroblast/mesenchymal,17,0.00282017252820173
GSE242889,(missing),other/uncertain,2,0.00033178500331785
GSE242889,(missing),neutrophil,9,0.00149303251493033
GSE242889,(missing),hepatocyte/tumor epithelial,2192,0.392761153915069
GSE242889,(missing),B,1925,0.344920265185451
GSE242889,(missing),plasma,264,0.0473033506540047
GSE242889,(missing),endothelial,417,0.0747177925103028
GSE242889,(missing),monocyte/macrophage,542,0.0971152123275399
GSE242889,(missing),T/NK,90,0.0161261422684107
GSE242889,(missing),neutrophil,114,0.0204264468733202
GSE242889,(missing),mast,5,0.000895896792689482
GSE242889,(missing),fibroblast/mesenchymal,17,0.00304604909514424
GSE242889,(missing),dendritic,6,0.00107507615122738
GSE242889,(missing),other/uncertain,9,0.00161261422684107
GSE282701,(missing),other/uncertain,1320,0.0730897009966778
GSE282701,(missing),T/NK,2209,0.122314507198228
GSE282701,(missing),endothelial,8091,0.448006644518272
GSE282701,(missing),dendritic,823,0.0455703211517165
GSE282701,(missing),fibroblast/mesenchymal,2966,0.164230343300111
GSE282701,(missing),hepatocyte/tumor epithelial,122,0.00675526024363234
GSE282701,(missing),neutrophil,280,0.0155038759689922
GSE282701,(missing),B,772,0.0427464008859358
GSE282701,(missing),monocyte/macrophage,1306,0.0723145071982281
GSE282701,(missing),mast,72,0.00398671096345515
GSE282701,(missing),plasma,99,0.00548172757475083
GSE282701,(missing),B,954,0.0879992620606955
GSE282701,(missing),neutrophil,1093,0.100820957476248
GSE282701,(missing),endothelial,251,0.023152845678443
GSE282701,(missing),T/NK,7488,0.690711189004705
GSE282701,(missing),other/uncertain,486,0.0448298127479015
GSE282701,(missing),plasma,81,0.00747163545798358
GSE282701,(missing),monocyte/macrophage,383,0.0353288442025643
GSE282701,(missing),mast,3,0.000276727239184577
GSE282701,(missing),hepatocyte/tumor epithelial,43,0.0039664237616456
GSE282701,(missing),dendritic,30,0.00276727239184577
GSE282701,(missing),fibroblast/mesenchymal,29,0.00267502997878424
GSE282701,(missing),hepatocyte/tumor epithelial,6310,0.629489225857941
GSE282701,(missing),monocyte/macrophage,396,0.0395051875498803
GSE282701,(missing),neutrophil,145,0.0144652833200319
GSE282701,(missing),B,749,0.0747206703910615
GSE282701,(missing),endothelial,963,0.0960694333599362
GSE282701,(missing),T/NK,1208,0.120510774142059
GSE282701,(missing),other/uncertain,44,0.00438946528332003
