dataset,source_author_annotation,project_broad_celltype,n_cells,fraction_within_source_author_annotation
in_house,(missing),plasma,76,0.00583762193716875
in_house,(missing),mast,30,0.0023043244488824
in_house,(missing),dendritic,11,0.000844918964590214
in_house,(missing),B,790,0.0732974577843756
in_house,(missing),neutrophil,515,0.0477825199480423
in_house,(missing),other/uncertain,855,0.0793282612729635
in_house,(missing),mast,35,0.00324735572462423
in_house,(missing),plasma,1061,0.0984412692521804
in_house,(missing),endothelial,1784,0.165522360363704
in_house,(missing),fibroblast/mesenchymal,293,0.0271850064947115
in_house,(missing),hepatocyte/tumor epithelial,523,0.0485247726850993
in_house,(missing),T/NK,3929,0.364538875487103
in_house,(missing),monocyte/macrophage,879,0.0815550194841343
in_house,(missing),dendritic,114,0.0105771015030618
in_house,(missing),hepatocyte/tumor epithelial,4403,0.317745543768492
in_house,(missing),neutrophil,2435,0.175723461066609
in_house,(missing),monocyte/macrophage,1720,0.124124990979288
in_house,(missing),other/uncertain,428,0.0308869163599625
in_house,(missing),B,477,0.0344230352890236
in_house,(missing),mast,95,0.00685574078083279
in_house,(missing),plasma,100,0.00721656924298189
in_house,(missing),T/NK,3542,0.255610882586418
in_house,(missing),fibroblast/mesenchymal,237,0.0171032691058671
in_house,(missing),dendritic,38,0.00274229631233312
in_house,(missing),endothelial,382,0.0275672945081908
in_house,(missing),T/NK,9225,0.779401824940858
in_house,(missing),monocyte/macrophage,532,0.0449476174383238
in_house,(missing),other/uncertain,444,0.0375126732004055
in_house,(missing),neutrophil,475,0.0401318012842176
in_house,(missing),dendritic,77,0.00650557620817844
in_house,(missing),B,561,0.0473977695167286
in_house,(missing),endothelial,188,0.0158837445082798
in_house,(missing),mast,21,0.00177424805677594
in_house,(missing),hepatocyte/tumor epithelial,124,0.0104765123352484
in_house,(missing),plasma,121,0.0102230483271375
in_house,(missing),fibroblast/mesenchymal,68,0.00574518418384589
in_house,(missing),T/NK,9290,0.543370181903258
in_house,(missing),other/uncertain,2390,0.139790606539159
in_house,(missing),plasma,505,0.0295373457331696
in_house,(missing),B,1918,0.112183423992513
in_house,(missing),monocyte/macrophage,673,0.0393636310463824
in_house,(missing),neutrophil,1564,0.0914780370825291
in_house,(missing),mast,9,0.000526408141779259
in_house,(missing),hepatocyte/tumor epithelial,20,0.00116979587062058
in_house,(missing),fibroblast/mesenchymal,386,0.0225770603029771
in_house,(missing),dendritic,189,0.0110545709773644
in_house,(missing),endothelial,153,0.00894893841024741
in_house,(missing),T/NK,9036,0.759774657361473
in_house,(missing),monocyte/macrophage,431,0.0362398049272681
in_house,(missing),neutrophil,772,0.0649121331875893
in_house,(missing),other/uncertain,395,0.0332128142604894
in_house,(missing),plasma,292,0.024552257630539
in_house,(missing),mast,7,0.000588581518540318
in_house,(missing),B,828,0.0696207853359119
in_house,(missing),dendritic,30,0.00252249222231565
in_house,(missing),hepatocyte/tumor epithelial,38,0.00319515681493315
in_house,(missing),endothelial,48,0.00403598755570504
in_house,(missing),fibroblast/mesenchymal,16,0.00134532918523501
in_house,(missing),monocyte/macrophage,632,0.0497402801825909
in_house,(missing),other/uncertain,765,0.0602077758539273
in_house,(missing),T/NK,8974,0.706280497402802
in_house,(missing),B,719,0.0565874390051944
in_house,(missing),plasma,259,0.0203840705178656
in_house,(missing),neutrophil,871,0.0685502912010074
in_house,(missing),hepatocyte/tumor epithelial,233,0.0183377931685818
in_house,(missing),fibroblast/mesenchymal,86,0.00676845584763104
in_house,(missing),mast,31,0.00243979222414607
in_house,(missing),dendritic,27,0.00212498032425626
in_house,(missing),endothelial,109,0.00857862427199748
in_house,(missing),other/uncertain,843,0.0807548615767794
in_house,(missing),neutrophil,2086,0.199827569690583
in_house,(missing),monocyte/macrophage,1031,0.098764249449181
in_house,(missing),mast,55,0.00526870389884089
in_house,(missing),T/NK,3997,0.382891081521219
in_house,(missing),B,683,0.0654277229619695
in_house,(missing),endothelial,611,0.0585305105853051
in_house,(missing),plasma,220,0.0210748155953635
in_house,(missing),hepatocyte/tumor epithelial,373,0.0357313918957755
in_house,(missing),fibroblast/mesenchymal,481,0.0460772104607721
in_house,(missing),dendritic,59,0.00565188236421113
nature_xue,Fb_02_CXCL12,hepatocyte/tumor epithelial,79,0.0242927429274293
nature_xue,DC_01_CLEC9A,B,3039,0.978113936272932
nature_xue,CD4T_03_GPR183,T/NK,44847,0.826002873245663
nature_xue,CD8T_08_GZMK,hepatocyte/tumor epithelial,5627,0.253628414315334
nature_xue,Mono-like_03_CD14CD16,B,5629,0.695625308947108
nature_xue,CD8T_08_GZMK,T/NK,15203,0.685251960695934
nature_xue,CD4T_08_STMN1,hepatocyte/tumor epithelial,251,0.0691841234840132
nature_xue,CD4T_05_CD69,T/NK,23028,0.652869131322295
nature_xue,Mu_02_ABCC9,fibroblast/mesenchymal,9112,0.786873920552677
nature_xue,Mono-like_03_CD14CD16,monocyte/macrophage,2028,0.25061789421651
nature_xue,Mph_07_SLC40A1,B,17690,0.521905885823868
nature_xue,CD4T_10_FOXP3_CTLA4,B,965,0.0385845661735306
nature_xue,CD4T_07_CXCL13,B,514,0.0695440400487079
nature_xue,DC_02_CD1C,B,7390,0.969816272965879
nature_xue,Tumor,hepatocyte/tumor epithelial,91510,0.942168501034728
nature_xue,Mph_07_SLC40A1,monocyte/macrophage,15457,0.456025962531347
nature_xue,CD8T_08_GZMK,other/uncertain,291,0.0131163796989092
nature_xue,Mph_09_STMN1,B,1123,0.241142366330256
nature_xue,CD4T_10_FOXP3_CTLA4,T/NK,17545,0.701519392243103
nature_xue,EC_05_KDR,endothelial,21124,0.88373844287328
nature_xue,Mu_01_MYH11,hepatocyte/tumor epithelial,3995,0.276241183792007
nature_xue,CD8T_13_STMN1,T/NK,6407,0.751995305164319
nature_xue,CD8T_06_CD69,T/NK,22742,0.881438703926204
nature_xue,CD4T_10_FOXP3_CTLA4,hepatocyte/tumor epithelial,3376,0.134986005597761
nature_xue,NK_05_CD160,T/NK,14052,0.767198078183009
nature_xue,CD8T_07_PLCG2,T/NK,5300,0.935239103582142
nature_xue,CD4T_08_STMN1,T/NK,2564,0.706725468577729
nature_xue,CD8T_08_GZMK,B,158,0.00712160822140088
nature_xue,Mu_01_MYH11,fibroblast/mesenchymal,8769,0.606347669755221
nature_xue,CD8T_08_GZMK,monocyte/macrophage,373,0.0168124042188768
nature_xue,EC_08_IGFBP3,monocyte/macrophage,2315,0.179833760584168
nature_xue,Mph_05_IL1B,monocyte/macrophage,8058,0.567584700993168
nature_xue,Mph_06_CXCL9,B,3306,0.522274881516588
nature_xue,NK_05_CD160,hepatocyte/tumor epithelial,1862,0.101659751037344
nature_xue,Fb_02_CXCL12,fibroblast/mesenchymal,3128,0.961869618696187
nature_xue,EC_07_KDR_APOA2,endothelial,1815,0.298765432098765
nature_xue,CD4T_03_GPR183,hepatocyte/tumor epithelial,5546,0.102147566950308
nature_xue,CD4T_10_FOXP3_CTLA4,other/uncertain,728,0.0291083566573371
nature_xue,CD4T_07_CXCL13,hepatocyte/tumor epithelial,1106,0.149641455824652
nature_xue,CD8T_11_SLC4A10,T/NK,19023,0.897480656727685
nature_xue,Mph_08_APOE,B,1457,0.270666914360022
nature_xue,CD8T_08_GZMK,neutrophil,115,0.00518344902190571
nature_xue,CD8T_13_STMN1,hepatocyte/tumor epithelial,403,0.0473004694835681
nature_xue,CD4T_10_FOXP3_CTLA4,monocyte/macrophage,1442,0.05765693722511
nature_xue,EC_05_KDR,hepatocyte/tumor epithelial,1537,0.0643015521064302
nature_xue,CD4T_07_CXCL13,T/NK,4296,0.581247463130835
nature_xue,CD4T_05_CD69,monocyte/macrophage,1548,0.04388750283511
nature_xue,CD4T_05_CD69,B,651,0.0184565661147653
nature_xue,EC_08_IGFBP3,endothelial,9525,0.739920764390585
nature_xue,NK_05_CD160,monocyte/macrophage,1510,0.0824415811312514
nature_xue,Mph_02_CCL20,B,591,0.21137339055794
nature_xue,EC_06_KDR_ESM1,endothelial,10475,0.940811927429495
nature_xue,CD8T_04_GNLY,T/NK,18682,0.89990366088632
nature_xue,DC_06_STMN1,B,1085,0.937770095073466
nature_xue,CD4T_06_PLCG2,T/NK,5162,0.876400679117148
nature_xue,NK_04_PLCG2,T/NK,1796,0.932987012987013
nature_xue,Tumor,monocyte/macrophage,3569,0.0367457040781657
nature_xue,CD8T_11_SLC4A10,hepatocyte/tumor epithelial,760,0.0358558218531798
nature_xue,Mono-like_02_CD16,monocyte/macrophage,2691,0.93567454798331
nature_xue,EC_04_ACKR1,endothelial,5668,0.925387755102041
nature_xue,DC_03_LAMP3,B,861,0.933839479392625
nature_xue,CD4T_03_GPR183,other/uncertain,1091,0.0200943013961027
nature_xue,Mph_08_APOE,monocyte/macrophage,3337,0.619914545792309
nature_xue,CD8T_10_PDCD1,T/NK,11312,0.783379501385042
nature_xue,CD4T_05_CD69,hepatocyte/tumor epithelial,7030,0.199308233159447
nature_xue,Mph_06_CXCL9,monocyte/macrophage,3002,0.474249605055292
nature_xue,EC_01_CLEC4A,hepatocyte/tumor epithelial,344,0.0493189964157706
nature_xue,Mph_09_STMN1,monocyte/macrophage,3358,0.721065063345501
nature_xue,EC_02_CLEC4A_APOA2,hepatocyte/tumor epithelial,327,0.588129496402878
nature_xue,Mph_05_IL1B,B,6127,0.431570050010566
nature_xue,EC_10_STMN1,hepatocyte/tumor epithelial,246,0.133405639913232
nature_xue,B_02_MS4A1_CD83,B,10341,0.903617616218106
nature_xue,CD8T_13_STMN1,B,412,0.0483568075117371
nature_xue,CD4T_05_CD69,other/uncertain,1073,0.0304207303243366
nature_xue,Mph_01_MARCO,monocyte/macrophage,6631,0.810437545832315
nature_xue,EC_07_KDR_APOA2,hepatocyte/tumor epithelial,4104,0.675555555555556
nature_xue,B_03_MZB1,plasma,7805,0.968001984373062
nature_xue,Tumor,B,139,0.00143111596157608
nature_xue,Neu_05_ELL2,neutrophil,810,0.84375
nature_xue,CD8T_13_STMN1,other/uncertain,373,0.0437793427230047
nature_xue,CD4T_03_GPR183,neutrophil,903,0.0166316720079567
nature_xue,EC_10_STMN1,endothelial,1406,0.762472885032538
nature_xue,EC_06_KDR_ESM1,monocyte/macrophage,297,0.0266750493982396
nature_xue,NK_07_STMN1,hepatocyte/tumor epithelial,226,0.0967051775780916
nature_xue,Neu_07_APOA2,neutrophil,1260,0.75
nature_xue,CD8T_10_PDCD1,B,331,0.0229224376731302
nature_xue,Mph_04_TREM2,monocyte/macrophage,2984,0.688827331486611
nature_xue,EC_01_CLEC4A,endothelial,4244,0.608458781362007
nature_xue,Mu_01_MYH11,other/uncertain,227,0.0156963075646522
nature_xue,CD4T_11_FOXP3_STMN1,T/NK,697,0.560289389067524
nature_xue,Mph_07_SLC40A1,hepatocyte/tumor epithelial,723,0.0213305797315238
nature_xue,CD8T_10_PDCD1,neutrophil,252,0.0174515235457064
nature_xue,CD4T_05_CD69,neutrophil,821,0.023276253118621
nature_xue,Mph_01_MARCO,B,1435,0.175384991444635
nature_xue,CD4T_03_GPR183,B,222,0.00408884959664051
nature_xue,Mono-like_03_CD14CD16,neutrophil,302,0.0373208106772121
nature_xue,Mph_08_APOE,hepatocyte/tumor epithelial,411,0.0763514768716329
nature_xue,NK_02_FCGR3A_CXCR4,T/NK,12664,0.878285595394965
nature_xue,CD4T_11_FOXP3_STMN1,B,310,0.2491961414791
nature_xue,CD8T_13_STMN1,neutrophil,203,0.0238262910798122
nature_xue,Mono-like_01_CD14,neutrophil,1674,0.363754889178618
nature_xue,NK_07_STMN1,B,132,0.0564826700898588
nature_xue,CD8T_06_CD69,hepatocyte/tumor epithelial,257,0.00996085423045618
nature_xue,CD4T_03_GPR183,monocyte/macrophage,1145,0.0210888864331234
nature_xue,Mu_01_MYH11,endothelial,88,0.00608491218365371
nature_xue,DC_05_LILRA4,B,529,0.96709323583181
nature_xue,EC_05_KDR,monocyte/macrophage,267,0.0111701460067774
nature_xue,Neu_05_ELL2,monocyte/macrophage,104,0.108333333333333
nature_xue,CD4T_08_STMN1,B,246,0.067805953693495
nature_xue,NK_07_STMN1,T/NK,1541,0.659392383397518
nature_xue,EC_08_IGFBP3,hepatocyte/tumor epithelial,460,0.0357337062067894
nature_xue,CD8T_10_PDCD1,hepatocyte/tumor epithelial,564,0.0390581717451524
nature_xue,CD8T_04_GNLY,other/uncertain,290,0.0139691714836224
nature_xue,EC_05_KDR,B,510,0.0213362339455299
nature_xue,Mu_02_ABCC9,hepatocyte/tumor epithelial,2100,0.181347150259067
nature_xue,Mono-like_01_CD14,B,1030,0.223815732290309
nature_xue,gdT_04_STMN1,T/NK,352,0.919060052219321
nature_xue,Mu_01_MYH11,B,28,0.00193610842207164
nature_xue,CD8T_09_PDCD1_IFNG,T/NK,13014,0.881110358835477
nature_xue,CD4T_06_PLCG2,hepatocyte/tumor epithelial,139,0.0235993208828523
nature_xue,CD8T_13_STMN1,monocyte/macrophage,400,0.0469483568075117
nature_xue,NK_02_FCGR3A_CXCR4,hepatocyte/tumor epithelial,1355,0.0939732297662806
nature_xue,CD4T_04_BAG3,T/NK,2593,0.857190082644628
nature_xue,CD4T_08_STMN1,monocyte/macrophage,169,0.0465821389195149
nature_xue,EC_02_CLEC4A_APOA2,endothelial,215,0.386690647482014
nature_xue,EC_05_KDR,neutrophil,74,0.00309584570974355
nature_xue,Neu_07_APOA2,monocyte/macrophage,238,0.141666666666667
nature_xue,CD8T_07_PLCG2,B,55,0.00970531145226751
nature_xue,Fb_01_FAP,fibroblast/mesenchymal,2271,0.917575757575758
nature_xue,CD4T_04_BAG3,hepatocyte/tumor epithelial,56,0.0185123966942149
nature_xue,CD8T_11_SLC4A10,neutrophil,548,0.0258539347046613
nature_xue,CD4T_08_STMN1,other/uncertain,152,0.041896361631753
nature_xue,Mast,mast,1145,0.740620957309185
nature_xue,CD8T_04_GNLY,hepatocyte/tumor epithelial,965,0.0464836223506744
nature_xue,CD8T_09_PDCD1_IFNG,monocyte/macrophage,312,0.0211238997968856
nature_xue,Mono-like_03_CD14CD16,hepatocyte/tumor epithelial,74,0.00914483440434998
nature_xue,Mu_01_MYH11,dendritic,925,0.0639607246577237
nature_xue,CD8T_07_PLCG2,other/uncertain,78,0.0137638962413976
nature_xue,EC_05_KDR,other/uncertain,241,0.0100824164330837
nature_xue,Mono-like_01_CD14,monocyte/macrophage,1710,0.371577574967405
nature_xue,NK_04_PLCG2,B,4,0.00207792207792208
nature_xue,B_03_MZB1,hepatocyte/tumor epithelial,14,0.00173632642936872
nature_xue,CD4T_07_CXCL13,neutrophil,81,0.010959274793668
nature_xue,EC_08_IGFBP3,other/uncertain,309,0.0240037287345607
nature_xue,Neu_07_APOA2,other/uncertain,51,0.0303571428571429
nature_xue,CD8T_05_KLRD1,T/NK,5601,0.891595033428844
nature_xue,Mu_03_STMN1,fibroblast/mesenchymal,339,0.795774647887324
nature_xue,CD4T_07_CXCL13,monocyte/macrophage,241,0.0326072250033825
nature_xue,CD4T_11_FOXP3_STMN1,monocyte/macrophage,82,0.0659163987138264
nature_xue,B_03_MZB1,neutrophil,41,0.00508495597172268
nature_xue,CD8T_07_PLCG2,hepatocyte/tumor epithelial,40,0.00705840832892183
nature_xue,Mono-like_02_CD16,B,161,0.055980528511822
nature_xue,CD8T_07_PLCG2,dendritic,1,0.000176460208223046
nature_xue,NK_04_PLCG2,monocyte/macrophage,93,0.0483116883116883
nature_xue,Mono-like_03_CD14CD16,dendritic,6,0.00074147305981216
nature_xue,CD8T_11_SLC4A10,monocyte/macrophage,378,0.0178335535006605
nature_xue,DC_02_CD1C,dendritic,67,0.00879265091863517
nature_xue,NK_02_FCGR3A_CXCR4,B,8,0.000554823496775088
nature_xue,NK_02_FCGR3A_CXCR4,monocyte/macrophage,139,0.00964005825646716
nature_xue,DC_03_LAMP3,other/uncertain,6,0.00650759219088937
nature_xue,Mu_02_ABCC9,endothelial,80,0.00690846286701209
nature_xue,CD8T_11_SLC4A10,other/uncertain,343,0.0161822985468956
nature_xue,NK_05_CD160,neutrophil,78,0.00425857174055471
nature_xue,Mph_01_MARCO,dendritic,50,0.00611097531165974
nature_xue,Mono-like_03_CD14CD16,other/uncertain,44,0.00543746910528918
nature_xue,CD8T_04_GNLY,neutrophil,498,0.0239884393063584
nature_xue,Mph_09_STMN1,hepatocyte/tumor epithelial,116,0.0249087395318875
nature_xue,Mph_07_SLC40A1,dendritic,1,2.95028765304617e-05
nature_xue,NK_07_STMN1,neutrophil,30,0.0128369704749679
nature_xue,CD4T_07_CXCL13,other/uncertain,216,0.0292247327831146
nature_xue,Mph_01_MARCO,hepatocyte/tumor epithelial,16,0.00195551209973112
nature_xue,Mph_07_SLC40A1,neutrophil,11,0.000324531641835079
nature_xue,gdT_04_STMN1,hepatocyte/tumor epithelial,4,0.010443864229765
nature_xue,Mono-like_01_CD14,other/uncertain,173,0.0375923511516732
nature_xue,CD8T_04_GNLY,monocyte/macrophage,247,0.011897880539499
nature_xue,NK_07_STMN1,monocyte/macrophage,155,0.0663243474540009
nature_xue,EC_03_TFF3,endothelial,630,0.720823798627002
nature_xue,B_02_MS4A1_CD83,hepatocyte/tumor epithelial,135,0.0117965746242573
nature_xue,EC_06_KDR_ESM1,other/uncertain,64,0.00574815879288665
nature_xue,Mph_09_STMN1,other/uncertain,10,0.00214730513205927
nature_xue,B_04_STMN1,other/uncertain,16,0.0239162929745889
nature_xue,DC_02_CD1C,monocyte/macrophage,85,0.0111548556430446
nature_xue,CD8T_11_SLC4A10,B,40,0.00188714851858841
nature_xue,NK_02_FCGR3A_CXCR4,neutrophil,73,0.00506276440807268
nature_xue,EC_01_CLEC4A,other/uncertain,279,0.04
nature_xue,NK_02_FCGR3A_CXCR4,other/uncertain,125,0.00866911713711076
nature_xue,EC_06_KDR_ESM1,hepatocyte/tumor epithelial,176,0.0158074366804383
nature_xue,DC_01_CLEC9A,hepatocyte/tumor epithelial,10,0.00321853878339234
nature_xue,Neu_07_APOA2,hepatocyte/tumor epithelial,124,0.0738095238095238
nature_xue,Mph_02_CCL20,monocyte/macrophage,1990,0.71173104434907
nature_xue,MonoDC,B,69,0.92
nature_xue,CD8T_06_CD69,neutrophil,988,0.0382930894151389
nature_xue,CD8T_12_IFIT3,hepatocyte/tumor epithelial,107,0.0467044958533392
nature_xue,EC_01_CLEC4A,monocyte/macrophage,1724,0.247168458781362
nature_xue,EC_01_CLEC4A,B,189,0.0270967741935484
nature_xue,gdT_03_KLRD1,T/NK,3810,0.914546327412386
nature_xue,CD8T_06_CD69,monocyte/macrophage,590,0.0228673307236154
nature_xue,gdT_03_KLRD1,neutrophil,116,0.0278444551128181
nature_xue,DC_03_LAMP3,monocyte/macrophage,35,0.0379609544468547
nature_xue,NK_05_CD160,B,484,0.0264249836208779
nature_xue,B_03_MZB1,other/uncertain,79,0.00979784199429493
nature_xue,B_02_MS4A1_CD83,monocyte/macrophage,226,0.0197483397413492
nature_xue,Mph_01_MARCO,other/uncertain,33,0.00403324370569543
nature_xue,NK_01_FCGR3A_CX3CR1,T/NK,722,0.991758241758242
nature_xue,EC_03_TFF3,dendritic,34,0.0389016018306636
nature_xue,NK_05_CD160,other/uncertain,176,0.00960908495304652
nature_xue,DC_04_CD207,B,101,1
nature_xue,CD4T_01_CCR7,T/NK,365,0.963060686015831
nature_xue,Neu_05_ELL2,other/uncertain,36,0.0375
nature_xue,CD8T_07_PLCG2,neutrophil,51,0.00899947061937533
nature_xue,Mo_02_CD16,monocyte/macrophage,195,0.9375
nature_xue,CD8T_05_KLRD1,monocyte/macrophage,137,0.021808341292582
nature_xue,EC_08_IGFBP3,dendritic,45,0.00349568865066418
nature_xue,Tumor,dendritic,70,0.0007207058799304
nature_xue,Mph_04_TREM2,B,1336,0.308402585410896
nature_xue,B_01_MS4A1,B,1915,0.938725490196078
nature_xue,CD8T_07_PLCG2,monocyte/macrophage,49,0.00864655020292924
nature_xue,EC_01_CLEC4A,plasma,92,0.0131899641577061
nature_xue,gdT_01_GNLY_S1PR5,T/NK,264,0.98876404494382
nature_xue,B_02_MS4A1_CD83,neutrophil,225,0.0196609577070954
nature_xue,CD8T_02_CX3CR1,T/NK,2949,0.979083665338645
nature_xue,CD8T_06_CD69,other/uncertain,601,0.023293670787954
nature_xue,CD4T_06_PLCG2,other/uncertain,144,0.0244482173174873
nature_xue,gdT_04_STMN1,neutrophil,10,0.0261096605744125
nature_xue,Mast,hepatocyte/tumor epithelial,50,0.0323415265200517
nature_xue,CD4T_06_PLCG2,monocyte/macrophage,138,0.0234295415959253
nature_xue,CD8T_03_GZMK_S1PR1,T/NK,236,0.975206611570248
nature_xue,Mo_01_CD14,neutrophil,83,0.522012578616352
nature_xue,EC_04_ACKR1,other/uncertain,49,0.008
nature_xue,EC_01_CLEC4A,dendritic,44,0.00630824372759857
nature_xue,CD4T_06_PLCG2,neutrophil,34,0.00577249575551783
nature_xue,Mu_01_MYH11,monocyte/macrophage,258,0.0178398561748029
nature_xue,Mast,B,46,0.0297542043984476
nature_xue,B_02_MS4A1_CD83,other/uncertain,235,0.020534778049633
nature_xue,gdT_03_KLRD1,monocyte/macrophage,105,0.0252040326452232
nature_xue,CD4T_02_SELL,T/NK,531,0.850961538461539
nature_xue,NK_03_FCGR3A_IFNG,T/NK,3800,0.958144225920323
nature_xue,Mph_08_APOE,neutrophil,28,0.00520156046814044
nature_xue,EC_10_STMN1,plasma,16,0.0086767895878525
nature_xue,CD8T_05_KLRD1,neutrophil,409,0.0651066539318688
nature_xue,CD8T_06_CD69,B,305,0.0118212472384791
nature_xue,EC_08_IGFBP3,B,139,0.0107977938320516
nature_xue,CD8T_05_KLRD1,other/uncertain,115,0.0183062718879338
nature_xue,EC_01_CLEC4A,neutrophil,50,0.00716845878136201
nature_xue,Mu_01_MYH11,plasma,114,0.00788272714700595
nature_xue,gdT_01_GNLY_S1PR5,neutrophil,2,0.00749063670411985
nature_xue,Mph_01_MARCO,plasma,12,0.00146663407479834
nature_xue,Mast,monocyte/macrophage,73,0.0472186287192756
nature_xue,CD4T_08_STMN1,neutrophil,115,0.0316979051819184
nature_xue,EC_03_TFF3,hepatocyte/tumor epithelial,64,0.0732265446224256
nature_xue,EC_04_ACKR1,B,206,0.0336326530612245
nature_xue,Mo_01_CD14,B,15,0.0943396226415094
nature_xue,CD4T_04_BAG3,neutrophil,38,0.0125619834710744
nature_xue,Fb_01_FAP,hepatocyte/tumor epithelial,23,0.00929292929292929
nature_xue,Mo_01_CD14,monocyte/macrophage,53,0.333333333333333
nature_xue,Fb_01_FAP,other/uncertain,37,0.014949494949495
nature_xue,NK_05_CD160,plasma,120,0.00655164883162263
nature_xue,Mph_01_MARCO,neutrophil,4,0.000488878024932779
nature_xue,EC_09_PLCG2,hepatocyte/tumor epithelial,2,0.105263157894737
nature_xue,NK_06_ITGA1,T/NK,800,0.91743119266055
nature_xue,EC_04_ACKR1,hepatocyte/tumor epithelial,102,0.0166530612244898
nature_xue,Fb_02_CXCL12,neutrophil,12,0.003690036900369
nature_xue,DC_02_CD1C,neutrophil,44,0.0057742782152231
nature_xue,CD8T_01_CCR7,T/NK,33,0.942857142857143
nature_xue,CD8T_11_SLC4A10,plasma,98,0.00462351387054161
nature_xue,B_02_MS4A1_CD83,plasma,278,0.0242922055225446
nature_xue,NK_03_FCGR3A_IFNG,monocyte/macrophage,64,0.016137165910237
nature_xue,CD4T_09_FOXP3,T/NK,57,0.919354838709677
nature_xue,gdT_03_KLRD1,B,20,0.00480076812289966
nature_xue,Mu_03_STMN1,hepatocyte/tumor epithelial,39,0.0915492957746479
nature_xue,Mu_02_ABCC9,monocyte/macrophage,75,0.00647668393782383
nature_xue,EC_07_KDR_APOA2,monocyte/macrophage,117,0.0192592592592593
nature_xue,EC_06_KDR_ESM1,B,63,0.0056583438117478
nature_xue,EC_10_STMN1,fibroblast/mesenchymal,12,0.00650759219088937
nature_xue,Mu_02_ABCC9,other/uncertain,42,0.00362694300518135
nature_xue,EC_07_KDR_APOA2,other/uncertain,7,0.0011522633744856
nature_xue,Mu_03_STMN1,monocyte/macrophage,8,0.0187793427230047
nature_xue,EC_10_STMN1,monocyte/macrophage,69,0.0374186550976139
nature_xue,B_04_STMN1,plasma,472,0.705530642750374
nature_xue,CD8T_08_GZMK,plasma,417,0.0187956368881277
nature_xue,CD4T_03_GPR183,plasma,524,0.00965115850738571
nature_xue,CD8T_10_PDCD1,monocyte/macrophage,458,0.0317174515235457
nature_xue,NK_07_STMN1,plasma,102,0.0436456996148909
nature_xue,CD4T_07_CXCL13,plasma,935,0.126505209038019
nature_xue,CD4T_10_FOXP3_CTLA4,plasma,683,0.0273090763694522
nature_xue,Tumor,plasma,409,0.00421098149845048
nature_xue,CD4T_11_FOXP3_STMN1,neutrophil,14,0.0112540192926045
nature_xue,EC_07_KDR_APOA2,plasma,9,0.00148148148148148
nature_xue,B_04_STMN1,B,145,0.216741405082212
nature_xue,EC_05_KDR,plasma,77,0.00322135296824666
nature_xue,CD4T_05_CD69,plasma,1072,0.0303923792243139
nature_xue,CD8T_13_STMN1,plasma,306,0.0359154929577465
nature_xue,NK_02_FCGR3A_CXCR4,plasma,44,0.00305152923226299
nature_xue,EC_08_IGFBP3,plasma,38,0.00295191486056086
nature_xue,CD8T_04_GNLY,plasma,69,0.00332369942196532
nature_xue,Mph_03_SPP1,monocyte/macrophage,4401,0.970238095238095
nature_xue,DC_02_CD1C,other/uncertain,12,0.0015748031496063
nature_xue,EC_10_STMN1,T/NK,21,0.0113882863340564
nature_xue,B_03_MZB1,monocyte/macrophage,114,0.0141386580677167
nature_xue,CD8T_10_PDCD1,plasma,1008,0.0698060941828255
nature_xue,CD4T_11_FOXP3_STMN1,other/uncertain,40,0.0321543408360129
nature_xue,Mph_06_CXCL9,plasma,13,0.00205371248025276
nature_xue,CD8T_10_PDCD1,other/uncertain,497,0.0344182825484765
nature_xue,CD4T_10_FOXP3_CTLA4,neutrophil,257,0.0102758896441423
nature_xue,Mu_02_ABCC9,plasma,25,0.00215889464594128
nature_xue,CD4T_11_FOXP3_STMN1,plasma,42,0.0337620578778135
nature_xue,CD8T_13_STMN1,dendritic,12,0.00140845070422535
nature_xue,CD4T_11_FOXP3_STMN1,hepatocyte/tumor epithelial,59,0.047427652733119
nature_xue,B_04_STMN1,monocyte/macrophage,25,0.0373692077727952
nature_xue,EC_09_PLCG2,endothelial,7,0.368421052631579
nature_xue,EC_07_KDR_APOA2,B,20,0.00329218106995885
nature_xue,NK_07_STMN1,other/uncertain,114,0.0487804878048781
nature_xue,EC_02_CLEC4A_APOA2,monocyte/macrophage,12,0.0215827338129496
nature_xue,NK_05_CD160,mast,10,0.000545970735968552
nature_xue,Mu_01_MYH11,neutrophil,50,0.00345733646798506
nature_xue,EC_07_KDR_APOA2,T/NK,1,0.000164609053497942
nature_xue,EC_08_IGFBP3,neutrophil,31,0.00240814107045755
nature_xue,Mu_02_ABCC9,neutrophil,18,0.00155440414507772
nature_xue,Neu_07_APOA2,B,3,0.00178571428571429
nature_xue,DC_02_CD1C,hepatocyte/tumor epithelial,11,0.00144356955380577
nature_xue,EC_06_KDR_ESM1,neutrophil,52,0.00467037901922041
nature_xue,EC_04_ACKR1,monocyte/macrophage,55,0.00897959183673469
nature_xue,DC_03_LAMP3,dendritic,3,0.00325379609544469
nature_xue,B_04_STMN1,hepatocyte/tumor epithelial,1,0.00149476831091181
nature_xue,NK_05_CD160,dendritic,19,0.00103734439834025
nature_xue,Mono-like_03_CD14CD16,plasma,5,0.000617894216510134
nature_xue,CD8T_08_GZMK,dendritic,1,4.50734697557018e-05
nature_xue,DC_05_LILRA4,dendritic,10,0.0182815356489945
nature_xue,DC_01_CLEC9A,monocyte/macrophage,18,0.00579336981010621
