dataset,tissue,abundance_eligible,project_broad_celltype,n_cells,n_rescued,n_samples,n_patients,dataset_tissue_total,fraction_within_dataset_tissue
GSE149614,Tumor,YES,T/NK,786,549,1,1,3368,0.233372921615202
GSE149614,Tumor,YES,monocyte/macrophage,916,124,1,1,3368,0.271971496437055
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,222,72,1,1,3368,0.0659144893111639
GSE149614,Tumor,YES,B,923,92,1,1,3368,0.274049881235154
GSE149614,Tumor,YES,endothelial,391,19,1,1,3368,0.116092636579572
GSE149614,Tumor,YES,other/uncertain,12,10,1,1,3368,0.00356294536817102
GSE149614,Tumor,YES,fibroblast/mesenchymal,92,2,1,1,3368,0.0273159144893112
GSE149614,Tumor,YES,dendritic,10,1,1,1,3368,0.00296912114014252
GSE149614,Tumor,YES,neutrophil,11,9,1,1,3368,0.00326603325415677
GSE149614,Tumor,YES,mast,1,0,1,1,3368,0.000296912114014252
GSE149614,Tumor,YES,plasma,4,0,1,1,3368,0.00118764845605701
GSE149614,Tumor,YES,plasma,1219,749,1,1,4101,0.297244574494026
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,2319,126,1,1,4101,0.565471836137527
GSE149614,Tumor,YES,monocyte/macrophage,227,32,1,1,4101,0.0553523530846135
GSE149614,Tumor,YES,B,277,32,1,1,4101,0.0675445013411363
GSE149614,Tumor,YES,T/NK,32,6,1,1,4101,0.00780297488417459
GSE149614,Tumor,YES,other/uncertain,17,9,1,1,4101,0.00414533040721775
GSE149614,Tumor,YES,neutrophil,4,1,1,1,4101,0.000975371860521824
GSE149614,Tumor,YES,fibroblast/mesenchymal,4,0,1,1,4101,0.000975371860521824
GSE149614,Tumor,YES,endothelial,2,0,1,1,4101,0.000487685930260912
GSE149614,Adjacent,YES,monocyte/macrophage,545,27,1,1,2601,0.209534794309881
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,1599,204,1,1,2601,0.614763552479815
GSE149614,Adjacent,YES,B,300,15,1,1,2601,0.115340253748558
GSE149614,Adjacent,YES,plasma,103,9,1,1,2601,0.039600153787005
GSE149614,Adjacent,YES,T/NK,34,9,1,1,2601,0.0130718954248366
GSE149614,Adjacent,YES,neutrophil,9,4,1,1,2601,0.00346020761245675
GSE149614,Adjacent,YES,other/uncertain,7,2,1,1,2601,0.00269127258746636
GSE149614,Adjacent,YES,endothelial,1,1,1,1,2601,0.000384467512495194
GSE149614,Adjacent,YES,fibroblast/mesenchymal,1,0,1,1,2601,0.000384467512495194
GSE149614,Adjacent,YES,dendritic,2,0,1,1,2601,0.000768935024990388
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,3836,314,1,1,4825,0.795025906735751
GSE149614,Tumor,YES,B,375,38,1,1,4825,0.077720207253886
GSE149614,Tumor,YES,monocyte/macrophage,566,51,1,1,4825,0.117305699481865
GSE149614,Tumor,YES,plasma,46,15,1,1,4825,0.00953367875647668
GSE149614,Tumor,YES,other/uncertain,1,0,1,1,4825,0.000207253886010363
GSE149614,Tumor,YES,fibroblast/mesenchymal,1,0,1,1,4825,0.000207253886010363
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,1447,639,1,1,3396,0.426089517078916
GSE149614,Adjacent,YES,monocyte/macrophage,496,99,1,1,3396,0.14605418138987
GSE149614,Adjacent,YES,T/NK,628,470,1,1,3396,0.1849234393404
GSE149614,Adjacent,YES,B,683,144,1,1,3396,0.201118963486455
GSE149614,Adjacent,YES,neutrophil,25,17,1,1,3396,0.00736160188457008
GSE149614,Adjacent,YES,fibroblast/mesenchymal,17,1,1,1,3396,0.00500588928150766
GSE149614,Adjacent,YES,plasma,35,10,1,1,3396,0.0103062426383981
GSE149614,Adjacent,YES,endothelial,37,4,1,1,3396,0.0108951707891637
GSE149614,Adjacent,YES,other/uncertain,23,17,1,1,3396,0.00677267373380448
GSE149614,Adjacent,YES,mast,1,0,1,1,3396,0.000294464075382803
GSE149614,Adjacent,YES,dendritic,4,1,1,1,3396,0.00117785630153121
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,2869,412,1,1,3501,0.819480148528992
GSE149614,Tumor,YES,monocyte/macrophage,561,101,1,1,3501,0.160239931448158
GSE149614,Tumor,YES,B,62,7,1,1,3501,0.017709225935447
GSE149614,Tumor,YES,plasma,1,0,1,1,3501,0.000285632676378178
GSE149614,Tumor,YES,fibroblast/mesenchymal,8,0,1,1,3501,0.00228506141102542
GSE149614,Adjacent,YES,T/NK,2874,1197,1,1,4656,0.617268041237113
GSE149614,Adjacent,YES,B,559,76,1,1,4656,0.120060137457045
GSE149614,Adjacent,YES,monocyte/macrophage,815,88,1,1,4656,0.17504295532646
GSE149614,Adjacent,YES,other/uncertain,55,19,1,1,4656,0.0118127147766323
GSE149614,Adjacent,YES,neutrophil,138,53,1,1,4656,0.029639175257732
GSE149614,Adjacent,YES,endothelial,62,3,1,1,4656,0.0133161512027491
GSE149614,Adjacent,YES,plasma,99,14,1,1,4656,0.0212628865979381
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,44,6,1,1,4656,0.00945017182130584
GSE149614,Adjacent,YES,dendritic,3,0,1,1,4656,0.000644329896907217
GSE149614,Adjacent,YES,fibroblast/mesenchymal,6,0,1,1,4656,0.00128865979381443
GSE149614,Adjacent,YES,mast,1,1,1,1,4656,0.000214776632302406
GSE149614,Tumor,YES,monocyte/macrophage,507,61,1,1,3353,0.151207873546078
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,2191,409,1,1,3353,0.653444676409186
GSE149614,Tumor,YES,B,513,58,1,1,3353,0.152997315836564
GSE149614,Tumor,YES,endothelial,60,1,1,1,3353,0.0178944229048613
GSE149614,Tumor,YES,T/NK,31,13,1,1,3353,0.00924545183417835
GSE149614,Tumor,YES,plasma,36,6,1,1,3353,0.0107366537429168
GSE149614,Tumor,YES,fibroblast/mesenchymal,4,0,1,1,3353,0.00119296152699075
GSE149614,Tumor,YES,neutrophil,3,1,1,1,3353,0.000894721145243066
GSE149614,Tumor,YES,other/uncertain,8,2,1,1,3353,0.00238592305398151
GSE149614,Adjacent,YES,T/NK,2192,691,1,1,4465,0.490929451287794
GSE149614,Adjacent,YES,monocyte/macrophage,1050,143,1,1,4465,0.235162374020157
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,285,74,1,1,4465,0.0638297872340426
GSE149614,Adjacent,YES,fibroblast/mesenchymal,59,9,1,1,4465,0.0132138857782755
GSE149614,Adjacent,YES,B,444,80,1,1,4465,0.0994400895856663
GSE149614,Adjacent,YES,plasma,132,32,1,1,4465,0.0295632698768197
GSE149614,Adjacent,YES,endothelial,65,8,1,1,4465,0.0145576707726764
GSE149614,Adjacent,YES,other/uncertain,57,14,1,1,4465,0.0127659574468085
GSE149614,Adjacent,YES,neutrophil,168,49,1,1,4465,0.0376259798432251
GSE149614,Adjacent,YES,mast,7,6,1,1,4465,0.00156774916013438
GSE149614,Adjacent,YES,dendritic,6,2,1,1,4465,0.0013437849944009
GSE149614,Tumor,YES,T/NK,1073,526,1,1,4308,0.249071494893222
GSE149614,Tumor,YES,plasma,249,80,1,1,4308,0.0577994428969359
GSE149614,Tumor,YES,fibroblast/mesenchymal,265,23,1,1,4308,0.0615134633240483
GSE149614,Tumor,YES,B,998,220,1,1,4308,0.231662024141133
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,1003,323,1,1,4308,0.232822655524605
GSE149614,Tumor,YES,endothelial,276,30,1,1,4308,0.064066852367688
GSE149614,Tumor,YES,monocyte/macrophage,354,65,1,1,4308,0.0821727019498607
GSE149614,Tumor,YES,other/uncertain,32,8,1,1,4308,0.0074280408542247
GSE149614,Tumor,YES,neutrophil,31,20,1,1,4308,0.00719591457753018
GSE149614,Tumor,YES,mast,25,16,1,1,4308,0.00580315691736305
GSE149614,Tumor,YES,dendritic,2,2,1,1,4308,0.000464252553389044
GSE149614,Adjacent,YES,T/NK,1864,508,1,1,3740,0.498395721925134
GSE149614,Adjacent,YES,neutrophil,436,104,1,1,3740,0.116577540106952
GSE149614,Adjacent,YES,monocyte/macrophage,741,59,1,1,3740,0.198128342245989
GSE149614,Adjacent,YES,endothelial,62,5,1,1,3740,0.0165775401069519
GSE149614,Adjacent,YES,B,378,49,1,1,3740,0.101069518716578
GSE149614,Adjacent,YES,other/uncertain,94,19,1,1,3740,0.0251336898395722
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,39,8,1,1,3740,0.010427807486631
GSE149614,Adjacent,YES,plasma,109,21,1,1,3740,0.029144385026738
GSE149614,Adjacent,YES,dendritic,4,0,1,1,3740,0.00106951871657754
GSE149614,Adjacent,YES,fibroblast/mesenchymal,12,0,1,1,3740,0.00320855614973262
GSE149614,Adjacent,YES,mast,1,0,1,1,3740,0.000267379679144385
GSE149614,Tumor,YES,monocyte/macrophage,210,20,1,1,510,0.411764705882353
GSE149614,Tumor,YES,B,17,6,1,1,510,0.0333333333333333
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,69,8,1,1,510,0.135294117647059
GSE149614,Tumor,YES,plasma,189,51,1,1,510,0.370588235294118
GSE149614,Tumor,YES,neutrophil,2,2,1,1,510,0.00392156862745098
GSE149614,Tumor,YES,T/NK,9,6,1,1,510,0.0176470588235294
GSE149614,Tumor,YES,fibroblast/mesenchymal,9,3,1,1,510,0.0176470588235294
GSE149614,Tumor,YES,other/uncertain,3,1,1,1,510,0.00588235294117647
GSE149614,Tumor,YES,mast,2,0,1,1,510,0.00392156862745098
GSE149614,Adjacent,YES,T/NK,3384,421,1,1,4795,0.705735140771637
GSE149614,Adjacent,YES,neutrophil,457,49,1,1,4795,0.0953076120959333
GSE149614,Adjacent,YES,B,309,26,1,1,4795,0.0644421272158498
GSE149614,Adjacent,YES,endothelial,69,1,1,1,4795,0.0143899895724713
GSE149614,Adjacent,YES,monocyte/macrophage,369,23,1,1,4795,0.0769551616266945
GSE149614,Adjacent,YES,fibroblast/mesenchymal,29,0,1,1,4795,0.00604796663190824
GSE149614,Adjacent,YES,dendritic,21,5,1,1,4795,0.00437956204379562
GSE149614,Adjacent,YES,other/uncertain,98,15,1,1,4795,0.0204379562043796
GSE149614,Adjacent,YES,mast,5,2,1,1,4795,0.00104275286757039
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,21,0,1,1,4795,0.00437956204379562
GSE149614,Adjacent,YES,plasma,33,3,1,1,4795,0.00688216892596455
GSE149614,Tumor,YES,monocyte/macrophage,1731,316,1,1,4833,0.358162631905649
GSE149614,Tumor,YES,T/NK,754,370,1,1,4833,0.156010759362715
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,1757,160,1,1,4833,0.363542313262984
GSE149614,Tumor,YES,fibroblast/mesenchymal,326,25,1,1,4833,0.0674529277881233
GSE149614,Tumor,YES,B,171,41,1,1,4833,0.0353817504655493
GSE149614,Tumor,YES,neutrophil,22,11,1,1,4833,0.00455203807159114
GSE149614,Tumor,YES,other/uncertain,24,14,1,1,4833,0.00496585971446307
GSE149614,Tumor,YES,plasma,20,5,1,1,4833,0.00413821642871922
GSE149614,Tumor,YES,endothelial,19,3,1,1,4833,0.00393130560728326
GSE149614,Tumor,YES,dendritic,8,4,1,1,4833,0.00165528657148769
GSE149614,Tumor,YES,mast,1,0,1,1,4833,0.000206910821435961
GSE149614,Adjacent,YES,monocyte/macrophage,248,38,1,1,1962,0.126401630988787
GSE149614,Adjacent,YES,endothelial,72,4,1,1,1962,0.036697247706422
GSE149614,Adjacent,YES,T/NK,760,349,1,1,1962,0.387359836901121
GSE149614,Adjacent,YES,B,471,168,1,1,1962,0.240061162079511
GSE149614,Adjacent,YES,plasma,192,56,1,1,1962,0.0978593272171254
GSE149614,Adjacent,YES,other/uncertain,32,10,1,1,1962,0.0163098878695209
GSE149614,Adjacent,YES,neutrophil,43,9,1,1,1962,0.0219164118246687
GSE149614,Adjacent,YES,fibroblast/mesenchymal,19,0,1,1,1962,0.00968399592252803
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,121,15,1,1,1962,0.0616717635066259
GSE149614,Adjacent,YES,dendritic,3,0,1,1,1962,0.00152905198776758
GSE149614,Adjacent,YES,mast,1,1,1,1,1962,0.000509683995922528
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,1550,211,1,1,2816,0.550426136363636
GSE149614,Tumor,YES,monocyte/macrophage,342,50,1,1,2816,0.121448863636364
GSE149614,Tumor,YES,B,273,61,1,1,2816,0.0969460227272727
GSE149614,Tumor,YES,fibroblast/mesenchymal,113,7,1,1,2816,0.0401278409090909
GSE149614,Tumor,YES,mast,34,2,1,1,2816,0.0120738636363636
GSE149614,Tumor,YES,T/NK,341,224,1,1,2816,0.12109375
GSE149614,Tumor,YES,other/uncertain,49,26,1,1,2816,0.0174005681818182
GSE149614,Tumor,YES,neutrophil,82,13,1,1,2816,0.0291193181818182
GSE149614,Tumor,YES,endothelial,25,4,1,1,2816,0.00887784090909091
GSE149614,Tumor,YES,plasma,7,1,1,1,2816,0.00248579545454545
GSE149614,Adjacent,YES,T/NK,2153,1046,1,1,3072,0.700846354166667
GSE149614,Adjacent,YES,monocyte/macrophage,353,41,1,1,3072,0.114908854166667
GSE149614,Adjacent,YES,hepatocyte/tumor epithelial,67,25,1,1,3072,0.0218098958333333
GSE149614,Adjacent,YES,B,304,63,1,1,3072,0.0989583333333333
GSE149614,Adjacent,YES,neutrophil,52,20,1,1,3072,0.0169270833333333
GSE149614,Adjacent,YES,plasma,36,6,1,1,3072,0.01171875
GSE149614,Adjacent,YES,endothelial,20,1,1,1,3072,0.00651041666666667
GSE149614,Adjacent,YES,other/uncertain,65,23,1,1,3072,0.0211588541666667
GSE149614,Adjacent,YES,fibroblast/mesenchymal,16,1,1,1,3072,0.00520833333333333
GSE149614,Adjacent,YES,dendritic,4,2,1,1,3072,0.00130208333333333
GSE149614,Adjacent,YES,mast,2,2,1,1,3072,0.000651041666666667
GSE149614,Tumor,YES,monocyte/macrophage,836,76,1,1,2799,0.298678099321186
GSE149614,Tumor,YES,T/NK,539,216,1,1,2799,0.192568774562344
GSE149614,Tumor,YES,hepatocyte/tumor epithelial,1176,134,1,1,2799,0.420150053590568
GSE149614,Tumor,YES,fibroblast/mesenchymal,30,1,1,1,2799,0.0107181136120043
GSE149614,Tumor,YES,B,162,25,1,1,2799,0.0578778135048232
GSE149614,Tumor,YES,plasma,10,1,1,1,2799,0.00357270453733476
GSE149614,Tumor,YES,other/uncertain,26,11,1,1,2799,0.00928903179707038
GSE149614,Tumor,YES,neutrophil,13,2,1,1,2799,0.00464451589853519
GSE149614,Tumor,YES,endothelial,3,0,1,1,2799,0.00107181136120043
GSE149614,Tumor,YES,mast,2,0,1,1,2799,0.000714540907466953
GSE149614,Tumor,YES,dendritic,2,0,1,1,2799,0.000714540907466953
GSE242889,Adjacent,YES,neutrophil,696,100,1,1,5716,0.121763470958712
GSE242889,Adjacent,YES,T/NK,1877,605,1,1,5716,0.328376487053884
GSE242889,Adjacent,YES,other/uncertain,131,19,1,1,5716,0.0229181245626312
GSE242889,Adjacent,YES,endothelial,240,14,1,1,5716,0.0419874037788663
GSE242889,Adjacent,YES,monocyte/macrophage,332,36,1,1,5716,0.0580825752274318
GSE242889,Adjacent,YES,B,1391,207,1,1,5716,0.24335199440168
GSE242889,Adjacent,YES,plasma,433,132,1,1,5716,0.0757522743177047
GSE242889,Adjacent,YES,hepatocyte/tumor epithelial,504,21,1,1,5716,0.0881735479356193
GSE242889,Adjacent,YES,mast,71,20,1,1,5716,0.0124212736179146
GSE242889,Adjacent,YES,fibroblast/mesenchymal,17,0,1,1,5716,0.0029741077676697
GSE242889,Adjacent,YES,dendritic,24,1,1,1,5716,0.00419874037788663
GSE242889,Adjacent,YES,monocyte/macrophage,687,64,1,1,5671,0.121142655616293
GSE242889,Adjacent,YES,T/NK,1937,502,1,1,5671,0.341562334685241
GSE242889,Adjacent,YES,B,1654,130,1,1,5671,0.291659319344031
GSE242889,Adjacent,YES,hepatocyte/tumor epithelial,307,22,1,1,5671,0.0541350731793335
GSE242889,Adjacent,YES,plasma,263,87,1,1,5671,0.0463763004761065
GSE242889,Adjacent,YES,mast,70,10,1,1,5671,0.012343502027861
GSE242889,Adjacent,YES,other/uncertain,89,16,1,1,5671,0.015693881149709
GSE242889,Adjacent,YES,fibroblast/mesenchymal,21,2,1,1,5671,0.00370305060835831
GSE242889,Adjacent,YES,endothelial,214,22,1,1,5671,0.0377358490566038
GSE242889,Adjacent,YES,neutrophil,379,67,1,1,5671,0.0668312466937048
GSE242889,Adjacent,YES,dendritic,50,4,1,1,5671,0.00881678716275789
GSE242889,Adjacent,YES,T/NK,825,178,1,1,2425,0.34020618556701
GSE242889,Adjacent,YES,hepatocyte/tumor epithelial,105,4,1,1,2425,0.0432989690721649
GSE242889,Adjacent,YES,B,715,62,1,1,2425,0.294845360824742
GSE242889,Adjacent,YES,neutrophil,214,40,1,1,2425,0.0882474226804124
GSE242889,Adjacent,YES,plasma,192,100,1,1,2425,0.0791752577319588
GSE242889,Adjacent,YES,other/uncertain,75,9,1,1,2425,0.0309278350515464
GSE242889,Adjacent,YES,monocyte/macrophage,161,14,1,1,2425,0.0663917525773196
GSE242889,Adjacent,YES,endothelial,104,3,1,1,2425,0.0428865979381443
GSE242889,Adjacent,YES,dendritic,17,1,1,1,2425,0.00701030927835052
GSE242889,Adjacent,YES,mast,15,1,1,1,2425,0.00618556701030928
GSE242889,Adjacent,YES,fibroblast/mesenchymal,2,0,1,1,2425,0.000824742268041237
GSE242889,Adjacent,YES,B,2778,196,1,1,8156,0.340608141245709
GSE242889,Adjacent,YES,monocyte/macrophage,1861,121,1,1,8156,0.228175576262874
GSE242889,Adjacent,YES,other/uncertain,79,19,1,1,8156,0.00968612064737616
GSE242889,Adjacent,YES,plasma,1233,546,1,1,8156,0.151177047572339
GSE242889,Adjacent,YES,T/NK,1106,366,1,1,8156,0.135605689063266
GSE242889,Adjacent,YES,neutrophil,408,74,1,1,8156,0.0500245218244237
GSE242889,Adjacent,YES,hepatocyte/tumor epithelial,495,50,1,1,8156,0.0606915154487494
GSE242889,Adjacent,YES,fibroblast/mesenchymal,6,2,1,1,8156,0.000735654732712114
GSE242889,Adjacent,YES,endothelial,101,9,1,1,8156,0.0123835213339872
GSE242889,Adjacent,YES,dendritic,75,0,1,1,8156,0.00919568415890142
GSE242889,Adjacent,YES,mast,14,5,1,1,8156,0.0017165277096616
GSE242889,Adjacent,YES,plasma,1234,313,1,1,4435,0.278241262683202
GSE242889,Adjacent,YES,hepatocyte/tumor epithelial,131,7,1,1,4435,0.0295377677564825
GSE242889,Adjacent,YES,T/NK,171,38,1,1,4435,0.0385569334836528
GSE242889,Adjacent,YES,B,899,31,1,1,4435,0.202705749718151
GSE242889,Adjacent,YES,endothelial,225,21,1,1,4435,0.0507328072153326
GSE242889,Adjacent,YES,neutrophil,792,127,1,1,4435,0.178579481397971
GSE242889,Adjacent,YES,monocyte/macrophage,841,24,1,1,4435,0.189627959413754
GSE242889,Adjacent,YES,other/uncertain,127,24,1,1,4435,0.0286358511837655
GSE242889,Adjacent,YES,dendritic,6,1,1,1,4435,0.00135287485907554
GSE242889,Adjacent,YES,mast,9,2,1,1,4435,0.0020293122886133
GSE242889,Tumor,YES,T/NK,768,179,1,1,4884,0.157248157248157
GSE242889,Tumor,YES,plasma,307,85,1,1,4884,0.0628583128583129
GSE242889,Tumor,YES,fibroblast/mesenchymal,217,23,1,1,4884,0.0444307944307944
GSE242889,Tumor,YES,B,1280,185,1,1,4884,0.262080262080262
GSE242889,Tumor,YES,hepatocyte/tumor epithelial,968,88,1,1,4884,0.198198198198198
GSE242889,Tumor,YES,endothelial,568,44,1,1,4884,0.116298116298116
GSE242889,Tumor,YES,monocyte/macrophage,522,48,1,1,4884,0.106879606879607
GSE242889,Tumor,YES,dendritic,62,4,1,1,4884,0.0126945126945127
GSE242889,Tumor,YES,neutrophil,148,20,1,1,4884,0.0303030303030303
GSE242889,Tumor,YES,other/uncertain,39,7,1,1,4884,0.00798525798525799
GSE242889,Tumor,YES,mast,5,0,1,1,4884,0.00102375102375102
GSE242889,Tumor,YES,hepatocyte/tumor epithelial,4567,269,1,1,5518,0.827654947444726
GSE242889,Tumor,YES,B,475,77,1,1,5518,0.0860819137368612
GSE242889,Tumor,YES,monocyte/macrophage,212,19,1,1,5518,0.0384197172888728
GSE242889,Tumor,YES,plasma,227,198,1,1,5518,0.0411380935121421
GSE242889,Tumor,YES,T/NK,14,5,1,1,5518,0.00253715114171801
GSE242889,Tumor,YES,endothelial,14,2,1,1,5518,0.00253715114171801
GSE242889,Tumor,YES,dendritic,1,1,1,1,5518,0.000181225081551287
GSE242889,Tumor,YES,fibroblast/mesenchymal,5,0,1,1,5518,0.000906125407756434
GSE242889,Tumor,YES,mast,1,1,1,1,5518,0.000181225081551287
GSE242889,Tumor,YES,neutrophil,2,2,1,1,5518,0.000362450163102573
GSE242889,Tumor,YES,B,2019,201,1,1,4540,0.444713656387665
GSE242889,Tumor,YES,hepatocyte/tumor epithelial,1832,47,1,1,4540,0.40352422907489
GSE242889,Tumor,YES,mast,61,8,1,1,4540,0.0134361233480176
GSE242889,Tumor,YES,endothelial,120,9,1,1,4540,0.026431718061674
GSE242889,Tumor,YES,T/NK,128,27,1,1,4540,0.0281938325991189
GSE242889,Tumor,YES,monocyte/macrophage,129,23,1,1,4540,0.0284140969162996
GSE242889,Tumor,YES,neutrophil,49,8,1,1,4540,0.0107929515418502
GSE242889,Tumor,YES,fibroblast/mesenchymal,67,12,1,1,4540,0.0147577092511013
GSE242889,Tumor,YES,dendritic,49,4,1,1,4540,0.0107929515418502
GSE242889,Tumor,YES,plasma,10,5,1,1,4540,0.00220264317180617
GSE242889,Tumor,YES,other/uncertain,76,14,1,1,4540,0.0167400881057269
GSE242889,Tumor,YES,hepatocyte/tumor epithelial,4361,718,1,1,6028,0.723457199734572
GSE242889,Tumor,YES,plasma,41,35,1,1,6028,0.00680159256801593
GSE242889,Tumor,YES,monocyte/macrophage,267,39,1,1,6028,0.044293297942933
GSE242889,Tumor,YES,B,1118,134,1,1,6028,0.185467816854678
GSE242889,Tumor,YES,mast,6,3,1,1,6028,0.00099535500995355
GSE242889,Tumor,YES,dendritic,21,4,1,1,6028,0.00348374253483743
GSE242889,Tumor,YES,endothelial,149,50,1,1,6028,0.0247179827471798
GSE242889,Tumor,YES,T/NK,37,32,1,1,6028,0.00613802256138023
GSE242889,Tumor,YES,fibroblast/mesenchymal,17,2,1,1,6028,0.00282017252820173
GSE242889,Tumor,YES,other/uncertain,2,1,1,1,6028,0.00033178500331785
GSE242889,Tumor,YES,neutrophil,9,2,1,1,6028,0.00149303251493033
GSE242889,Tumor,YES,hepatocyte/tumor epithelial,2192,154,1,1,5581,0.392761153915069
GSE242889,Tumor,YES,B,1925,217,1,1,5581,0.344920265185451
GSE242889,Tumor,YES,plasma,264,107,1,1,5581,0.0473033506540047
GSE242889,Tumor,YES,endothelial,417,43,1,1,5581,0.0747177925103028
GSE242889,Tumor,YES,monocyte/macrophage,542,27,1,1,5581,0.0971152123275399
GSE242889,Tumor,YES,T/NK,90,7,1,1,5581,0.0161261422684107
GSE242889,Tumor,YES,neutrophil,114,26,1,1,5581,0.0204264468733202
GSE242889,Tumor,YES,mast,5,1,1,1,5581,0.000895896792689482
GSE242889,Tumor,YES,fibroblast/mesenchymal,17,1,1,1,5581,0.00304604909514424
GSE242889,Tumor,YES,dendritic,6,1,1,1,5581,0.00107507615122738
GSE242889,Tumor,YES,other/uncertain,9,3,1,1,5581,0.00161261422684107
GSE282701,Tumor,YES,other/uncertain,1320,127,1,1,18060,0.0730897009966778
GSE282701,Tumor,YES,T/NK,2209,61,1,1,18060,0.122314507198228
GSE282701,Tumor,YES,endothelial,8091,99,1,1,18060,0.448006644518272
GSE282701,Tumor,YES,dendritic,823,15,1,1,18060,0.0455703211517165
GSE282701,Tumor,YES,fibroblast/mesenchymal,2966,11,1,1,18060,0.164230343300111
GSE282701,Tumor,YES,hepatocyte/tumor epithelial,122,10,1,1,18060,0.00675526024363234
GSE282701,Tumor,YES,neutrophil,280,44,1,1,18060,0.0155038759689922
GSE282701,Tumor,YES,B,772,15,1,1,18060,0.0427464008859358
GSE282701,Tumor,YES,monocyte/macrophage,1306,20,1,1,18060,0.0723145071982281
GSE282701,Tumor,YES,mast,72,8,1,1,18060,0.00398671096345515
GSE282701,Tumor,YES,plasma,99,7,1,1,18060,0.00548172757475083
GSE282701,Adjacent,YES,B,954,6,1,1,10841,0.0879992620606955
GSE282701,Adjacent,YES,neutrophil,1093,55,1,1,10841,0.100820957476248
GSE282701,Adjacent,YES,endothelial,251,5,1,1,10841,0.023152845678443
GSE282701,Adjacent,YES,T/NK,7488,26,1,1,10841,0.690711189004705
GSE282701,Adjacent,YES,other/uncertain,486,26,1,1,10841,0.0448298127479015
GSE282701,Adjacent,YES,plasma,81,3,1,1,10841,0.00747163545798358
GSE282701,Adjacent,YES,monocyte/macrophage,383,9,1,1,10841,0.0353288442025643
GSE282701,Adjacent,YES,mast,3,1,1,1,10841,0.000276727239184577
GSE282701,Adjacent,YES,hepatocyte/tumor epithelial,43,0,1,1,10841,0.0039664237616456
GSE282701,Adjacent,YES,dendritic,30,0,1,1,10841,0.00276727239184577
GSE282701,Adjacent,YES,fibroblast/mesenchymal,29,0,1,1,10841,0.00267502997878424
GSE282701,Tumor,YES,hepatocyte/tumor epithelial,6310,278,1,1,10024,0.629489225857941
GSE282701,Tumor,YES,monocyte/macrophage,396,41,1,1,10024,0.0395051875498803
GSE282701,Tumor,YES,neutrophil,145,42,1,1,10024,0.0144652833200319
GSE282701,Tumor,YES,B,749,25,1,1,10024,0.0747206703910615
GSE282701,Tumor,YES,endothelial,963,2,1,1,10024,0.0960694333599362
GSE282701,Tumor,YES,T/NK,1208,7,1,1,10024,0.120510774142059
GSE282701,Tumor,YES,other/uncertain,44,1,1,1,10024,0.00438946528332003
GSE282701,Tumor,YES,mast,1,1,1,1,10024,9.97605746209098e-05
GSE282701,Tumor,YES,fibroblast/mesenchymal,201,0,1,1,10024,0.0200518754988029
GSE282701,Tumor,YES,plasma,6,0,1,1,10024,0.000598563447725459
GSE282701,Tumor,YES,dendritic,1,0,1,1,10024,9.97605746209098e-05
GSE282701,Adjacent,YES,monocyte/macrophage,1668,64,1,1,10791,0.154573255490687
GSE282701,Adjacent,YES,other/uncertain,287,44,1,1,10791,0.0265962376054119
GSE282701,Adjacent,YES,hepatocyte/tumor epithelial,506,92,1,1,10791,0.0468909276248726
GSE282701,Adjacent,YES,neutrophil,1038,141,1,1,10791,0.0961912705031971
GSE282701,Adjacent,YES,B,1534,69,1,1,10791,0.142155499953665
GSE282701,Adjacent,YES,T/NK,4772,27,1,1,10791,0.442220368825873
GSE282701,Adjacent,YES,dendritic,70,6,1,1,10791,0.00648688722083218
GSE282701,Adjacent,YES,plasma,201,20,1,1,10791,0.0186266333055324
GSE282701,Adjacent,YES,mast,32,7,1,1,10791,0.00296543415809471
GSE282701,Adjacent,YES,endothelial,603,7,1,1,10791,0.0558798999165972
GSE282701,Adjacent,YES,fibroblast/mesenchymal,80,0,1,1,10791,0.00741358539523677
GSE282701,Tumor,YES,hepatocyte/tumor epithelial,635,245,1,1,12087,0.0525357822453876
GSE282701,Tumor,YES,other/uncertain,694,479,1,1,12087,0.0574170596508646
GSE282701,Tumor,YES,B,3350,623,1,1,12087,0.277157276412675
GSE282701,Tumor,YES,monocyte/macrophage,849,238,1,1,12087,0.07024075452966
