dataset,sample_id,patient_id,tissue,abundance_eligible,n_cells,n_neutrophil,n_neutrophil_high,n_neutrophil_medium,n_ambiguous_myeloid,n_rescued,n_rescued_neutrophil,n_patients,summary_level,neutrophil_fraction,rescued_fraction
GSE282701,GSM8649026,P12,Tumor,YES,12445,100,73,27,87,2649,46,1,sample,0.00803535556448373,0.212856568903174
GSE282701,GSM8649026,P12,Tumor,YES,12445,100,73,27,87,2649,46,1,patient_tissue,0.00803535556448373,0.212856568903174
GSE282701,GSM8649027,P12,Adjacent,YES,10867,564,418,146,194,553,82,1,sample,0.0519002484586362,0.0508880095702586
GSE282701,GSM8649027,P12,Adjacent,YES,10867,564,418,146,194,553,82,1,patient_tissue,0.0519002484586362,0.0508880095702586
GSE282701,GSM8649028,P11,Tumor,YES,9817,78,60,18,175,2327,34,1,sample,0.00794540083528573,0.237037791586024
GSE282701,GSM8649028,P11,Tumor,YES,9817,78,60,18,175,2327,34,1,patient_tissue,0.00794540083528573,0.237037791586024
GSE282701,GSM8649029,P11,Adjacent,YES,10945,1641,1276,365,361,682,135,1,sample,0.149931475559616,0.0623115577889447
GSE282701,GSM8649029,P11,Adjacent,YES,10945,1641,1276,365,361,682,135,1,patient_tissue,0.149931475559616,0.0623115577889447
GSE282701,GSM8649030,P10,Tumor,YES,10712,95,82,13,40,214,23,1,sample,0.00886855862584018,0.0199775952203137
GSE282701,GSM8649030,P10,Tumor,YES,10712,95,82,13,40,214,23,1,patient_tissue,0.00886855862584018,0.0199775952203137
GSE282701,GSM8649031,P10,Adjacent,YES,9509,300,153,147,137,806,56,1,sample,0.0315490587864129,0.0847618046061626
GSE282701,GSM8649031,P10,Adjacent,YES,9509,300,153,147,137,806,56,1,patient_tissue,0.0315490587864129,0.0847618046061626
GSE299340,GSM9037556,patient_5,Tumor,YES,7103,370,311,59,195,376,101,1,sample,0.0520906659158102,0.0529353794171477
GSE299340,GSM9037556,patient_5,Tumor,YES,7103,370,311,59,195,376,101,1,patient_tissue,0.0520906659158102,0.0529353794171477
GSE299340,GSM9037557,patient_5,Adjacent,YES,6521,825,699,126,353,261,113,1,sample,0.126514338291673,0.0400245361140929
GSE299340,GSM9037557,patient_5,Adjacent,YES,6521,825,699,126,353,261,113,1,patient_tissue,0.126514338291673,0.0400245361140929
GSE299340,GSM9037558,patient_3,Tumor,YES,5878,501,389,112,260,427,103,1,sample,0.0852330724736305,0.072643756379721
GSE299340,GSM9037558,patient_3,Tumor,YES,5878,501,389,112,260,427,103,1,patient_tissue,0.0852330724736305,0.072643756379721
GSE299340,GSM9037559,patient_3,Adjacent,YES,8166,733,597,136,387,293,126,1,sample,0.0897624295860887,0.0358804800391869
GSE299340,GSM9037559,patient_3,Adjacent,YES,8166,733,597,136,387,293,126,1,patient_tissue,0.0897624295860887,0.0358804800391869
GSE299340,GSM9037560,patient_4,Tumor,YES,6445,102,73,29,67,295,43,1,sample,0.0158262218774244,0.0457719162141195
GSE299340,GSM9037560,patient_4,Tumor,YES,6445,102,73,29,67,295,43,1,patient_tissue,0.0158262218774244,0.0457719162141195
GSE299340,GSM9037561,patient_4,Adjacent,YES,8317,1086,863,223,307,404,174,1,sample,0.130575928820488,0.0485752074065168
GSE299340,GSM9037561,patient_4,Adjacent,YES,8317,1086,863,223,307,404,174,1,patient_tissue,0.130575928820488,0.0485752074065168
GSE299340,GSM9037562,patient_2,Tumor,YES,10800,82,46,36,95,821,26,1,sample,0.00759259259259259,0.0760185185185185
GSE299340,GSM9037562,patient_2,Tumor,YES,10800,82,46,36,95,821,26,1,patient_tissue,0.00759259259259259,0.0760185185185185
GSE299340,GSM9037563,patient_2,Adjacent,YES,7206,325,245,80,303,252,91,1,sample,0.0451013044684985,0.0349708576186511
GSE299340,GSM9037563,patient_2,Adjacent,YES,7206,325,245,80,303,252,91,1,patient_tissue,0.0451013044684985,0.0349708576186511
GSE299340,GSM9037564,patient_1,Tumor,YES,8341,72,25,47,557,426,14,1,sample,0.00863205850617432,0.0510730128281981
GSE299340,GSM9037564,patient_1,Tumor,YES,8341,72,25,47,557,426,14,1,patient_tissue,0.00863205850617432,0.0510730128281981
GSE299340,GSM9037565,patient_1,Adjacent,YES,7542,207,123,84,303,73,23,1,sample,0.0274463007159905,0.00967913020418987
GSE299340,GSM9037565,patient_1,Adjacent,YES,7542,207,123,84,303,73,23,1,patient_tissue,0.0274463007159905,0.00967913020418987
GSE326201,GSM9625168,patient_001,Adjacent,YES,4954,172,119,53,50,96,3,1,sample,0.0347194186515947,0.0193782801776342
GSE326201,GSM9625168,patient_001,Adjacent,YES,4954,172,119,53,50,96,3,1,patient_tissue,0.0347194186515947,0.0193782801776342
GSE326201,GSM9625169,patient_001,Tumor,YES,11631,280,171,109,94,1167,77,1,sample,0.0240735964233514,0.100335310807325
GSE326201,GSM9625169,patient_001,Tumor,YES,11631,280,171,109,94,1167,77,1,patient_tissue,0.0240735964233514,0.100335310807325
GSE326201,GSM9625170,patient_002,Adjacent,YES,1905,66,53,13,23,248,8,1,sample,0.0346456692913386,0.130183727034121
GSE326201,GSM9625170,patient_002,Adjacent,YES,1905,66,53,13,23,248,8,1,patient_tissue,0.0346456692913386,0.130183727034121
